Brand,Match,Thomann Name,Thomann Price,Halilit Name,Halilit Price (ILS),Halilit Price (USD),Match Confidence
RCF,YES,RCF EVOX J8,$839.00,RCF F 10XR,N/A,N/A,48%
RCF,YES,RCF EVOX 12,$1899.00,RCF F 12XR,N/A,N/A,67%
RCF,YES,RCF EVOX J9,$1319.00,RCF F 10XR,N/A,N/A,48%
RCF,YES,RCF EVOX J8 B-Stock,$722.00,RCF ART 708-A MK5,N/A,N/A,44%
Mackie,YES,Mackie ProFX16v3,$485.00,+Mackie ProFX6v3,N/A,N/A,94%
Mackie,YES,Mackie Thump 215,$395.00,Mackie DB-100,N/A,N/A,55%
