Brand,Match Type,Thomann Product,Thomann Price (USD),Halilit Product,Halilit Price (ILS),Halilit Price (USD Equiv),Price Diff (USD),Price Diff (%),Cheaper
RCF,Matched,RCF EVOX J8,$839.00,RCF F 10XR,₪0,$0.00,$839.00,+0.0%,Halilit
RCF,Matched,RCF EVOX 12,$1899.00,RCF F 12XR,₪0,$0.00,$1899.00,+0.0%,Halilit
RCF,Matched,RCF EVOX J9,$1319.00,RCF F 10XR,₪0,$0.00,$1319.00,+0.0%,Halilit
RCF,Matched,RCF EVOX J8 B-Stock,$722.00,RCF ART 708-A MK5,₪0,$0.00,$722.00,+0.0%,Halilit
Mackie,Matched,Mackie ProFX16v3,$485.00,+Mackie ProFX6v3,₪0,$0.00,$485.00,+0.0%,Halilit
Mackie,Matched,Mackie Thump 215,$395.00,Mackie DB-100,₪0,$0.00,$395.00,+0.0%,Halilit
